Region,Nation(s),Political Science and International Relations,Sociology and Political Science,Development,"Economics, Econometrics and Finance","Business, Management and Accounting",Environmental Science,Transportation,Social Sciences (Misc.),Communication,Agricultural and Biological Sciences,Arts and Humanities,Computer Science,Decision Sciences,Demography,Earth and Planetary Sciences,Education,Energy,Engineering,Law,Mathematics,Medicine,Multidisciplinary,Safety Research,Urban Studies,Cultural Studies
Central and West Asia,Kazakhstan / Uzbekistan / Kyrgyzstan,,,1,1,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Kyrgyzstan / Tajikistan / Turkmenistan / Uzbekistan,,,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Azerbaijan,,,1,,,1,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan,,,,,,,,,,,,,,,,,,,1,,,,,,
Central and West Asia,Kazakhstan,1,,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,1,,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Iran,1,,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,1,,,1,,,,1,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan,,,1,,,1,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Kyrgyzstan / Pakistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,,,1,,1,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Turkmenistan / Russia,,1,1,,,,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Central and West Asia,Kazakhstan / Kyrgyzstan / Tajikistan / Uzbekistan / Turkmenistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Central and West Asia,Iran,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,,1,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,1,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,1,,,,,,,,,,
China,China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,1,1,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,1,,,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,,1,1,1,,,,,,,,,,,,,,,,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,,,,,,1,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,1,,,,,,,,,
China,China,,1,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,1,,,,,,,,,,,,,,,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,,1,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,1,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,1,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,1,,1,,,,,,,,,,,,,,,,,,
China,China,,1,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,1,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,1,,,,,,,,,,,,,,,,,,
China,China,,,,,1,,,,,,,,,,,,,,,,,,,,
China,China,,,1,1,,1,,,,,,,,,,,,,,,,,,,
China,China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,1,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,1,,,,,,,,,
China,China,,,,,1,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,1,,,,,,,,,,,,,,,,,,
China,China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,,1,,,,,,,,
China,China,,1,,,,,,,,,,,,,,,,,,,,,,,1
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,1,
China,China,,1,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,1,,,,,,,,,,
China,China,,,,,,1,,,,,,,1,,,,,,,,,,,,
China,China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,1,1,,,,,,,,1,,,,,,,,,,,,
China,China,,1,,,,,,,,,,,,,,,,,,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,1,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,,,,1,,,,,,
China,China,,,,1,1,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,1,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,1,,,,,,,,,,,,,
China,China,,,,,,,1,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,1,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,1,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,1,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,1,1,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,,,,1,,,,,,
China,China,1,1,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,,,,,,,1,,,
China,China,,,1,,,,1,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,,,,,,,,,,,,,1,,,
China,China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,1,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,1,,,,,,
China,China,1,,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,1,,,,,,,,,1,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
China,China,,1,,,,,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,1,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,1,,,,,,,,,,,,,,,,,,,
China,China,,,,,,,,,,1,,,,,,,,,,,,,,,
China,China,,,,1,,,,,,,,,,,,,,,,,,,,,
China,China,,,1,,,,,,,,,,,,,,1,,,,,,,,
China,China,,,,,,1,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Mongolia,,,1,1,,,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Hong Kong,,,1,,,,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Japan,,,,,,,,,,,,,,,,,,,,,,1,,,
East Asia and Oceania,Japan,,1,1,,,,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Japan,1,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Papua New Guinea,1,,1,,,,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Fiji,,1,1,,,,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Fiji,,1,1,,,,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Hong Kong / Macau,,,,,,1,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Hong Kong,,,,,,,,,,,,,,,,,,,1,,,,,,
East Asia and Oceania,Japan,,,,,,1,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,South Korea,,1,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Oceania,Australia,,1,,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Poland,,1,1,,1,,,,,,,,,,,,,,,,,,,,
Europe and North America,Russia,,1,1,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Slovenia / Poland,,,1,,,1,,,,,,,,,,,,,,,,,,,
Europe and North America,Italy,,,1,,,,,,,1,,,,,,,,,,,,,,,
Europe and North America,Montenegro,,,1,,,1,,,,,,,,,,,,,,,,,,,
Europe and North America,Denmark / Finland / Slovakia / Ireland / Croatia / Lithuania / Slovenia,1,,1,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Montenegro,,,,,,,,,,,,,,,,,,,,,1,,,,
Europe and North America,Italy,,,,1,,,,,,,,,,,,,,,,,,,,,
Europe and North America,United States of America,,,1,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Spain,,,1,,,1,,,,,,,,,,,,,,,,,,,
Europe and North America,Russia,,,1,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Netherlands,1,,,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Belarus,,1,1,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Russia,1,,,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Italy,,1,,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,United States of America,1,,,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Russia,,,,1,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Russia,,,1,,,,,,,,,,,,,,,,,,,,,,
Europe and North America,Russia,,,,,,,,1,,,,,,,,,,,,,,,,,
General,Indonesia / Kazakhstan / Cambodia,,,,,,,1,,,,,,,,,,,,,,,,,,
General,Greece / Sri Lanka / United Kingdom,,,1,,,,,,,,,,,,,,,,,,,,,,
General,Argentina / Bulgaria / Chile / Ecuador / Ethiopia / Kenya / Lesotho / Pakistan / Romania,,,,,,,,1,,,,,,,,,,,,,,,,,
General,Ethiopia / Tanzania / Egypt / Iraq,1,,1,,,,,,,,,,,,,,,,,,,,,,
General,Cambodia / Belarus / Ethiopia,,1,1,,,,,,,,,,,,,,,,,,,,,,
General,India / Vietnam / Indonesia,,,,,,1,,,,,,,,,,,,,,,,,,,
General,Thailand / Poland / Malaysia / Singapore / Hungary / Turkey / Romania / Czech Republic / Russia,,,,1,,,,,,,,,,,,,,,,,,,,,
General,Indonesia / Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
General,Pakistan / Malaysia,,,1,,,,,,,,,,,,,,,,,,,,,,
General,Ghana / Cambodia,,,,,,,,,,,,,,,,,,,,,,,,1,
General,Mongolia / Kazakhstan / Tajikistan / Kyrgyzstan / Afghanistan / Pakistan / Nepal / Myanmar / Cambodia / Laos / Vietnam,,,1,,,,,,,,,,,,,,,,,,,,,,
General,Hong Kong / Singapore,,,,,,,1,,,,,,,,,,,,,,,,,,
General,Nepal / Laos,,,1,,,,,,,,,,,,,,,,,,,,,,
General,Algeria / Ghana / Indonesia / Malaysia / Nigeria / Palestine,,,,,,1,,,,,,,,,,,,,,,,,,,
General,Ghana / Nigeria / Cambodia / Malaysia,1,,1,,,,,,,,,,,,,,,,,,,,,,
General,Kazakhstan / Italy / United Kingdom / Netherlands / India / Mexico / United States of America,1,,,,,,,,,,,,,,,,,,,,,,,,
General,Kenya / Tanzania / United Kingdom,,,,,,,,1,,,,,,,,,,,,,,,,,
General,Russia / India / Indonesia,,,,,,1,,,,,,,,,,,,,,,,,,,
General,Australia / India / Japan / United Kingdom / United States of America,1,,,,,,,,,,,,,,,,,,,,,,,,
General,India / Russia / Turkey,,,,,,,,,,,,,,,,,,,,1,,,,,
General,Pakistan / Kazakhstan / Bangladesh,1,,,,,,,,,,,,,,,,,,,,,,,,
General,Belarus / Bangladesh / Bulgaria / Czechia / Hungary / Israel / Jordan / Kyrgyzstan / Pakistan / Romania / Ukraine / Uzbekistan,,,,1,,,,,,,,,,,,,,,,,,,,,
General,Pakistan / Kenya,,,,,,1,,,,,,,,,,,,,1,,,,,,
South Asia,Nepal,,,,,,,,1,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,1,,,,,,,,
South Asia,Pakistan,1,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
South Asia,Sri Lanka,,,,,,,,,,,,,,,,,,,1,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,,,,,1,,,,
South Asia,Bangladesh / Nepal / Pakistan / India / Sri Lanka,,,,,,,,,,,,,,,,,,,,,1,,,,
South Asia,Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,1,,,,,,,,,,,1,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,1,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,1,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,1,,,,,,,,,,,1,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,1,,,,,,,,,,,,,
South Asia,Nepal,,1,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,"Pakistan, India, Bangladesh, Sri Lanka",,,,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,1,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,1,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,1,,,,,,,,
South Asia,India,1,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,"Pakistan, Sri Lanka, Bangladesh, India",,,,,1,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,1,,,,1,,,,,,,,,,,,,,,
South Asia,Nepal,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,1,,,,,,,,1,,
South Asia,Pakistan,,,,1,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,1,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,1,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
South Asia,India,,,,1,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,,,,,,,,,,1,,,,,,,,,,
South Asia,Pakistan,,1,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,1,,1,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,,,,,,1,,,
South Asia,Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,,,,,,1,,,
South Asia,Pakistan,1,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,,,,,,1,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,,,,,,1,,,
South Asia,Pakistan,,,1,1,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,1,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,1,,,,,,,,
South Asia,Pakistan,,,,1,1,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,1,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Nepal,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Nepal,,1,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Nepal,,1,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,1,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,1,,,,,,,,,,,,,,,,,,,,
South Asia,India,1,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Nepal,,1,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Nepal,1,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,1,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,,,1,,,,,,
South Asia,Bangladesh / India / Myanmar,,,1,,,1,,,,,,,,,,,,,,,,,,,
South Asia,India / Sri Lanka,,,1,,,,1,,,,,,,,,,,,,,,,,,
South Asia,Sri Lanka,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,,,,,,,,1,,,
South Asia,Pakistan,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,1,,1,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,1,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,1,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,1,,,,,,,,,,
South Asia,Pakistan,,,,,,,,,,,,,,,1,,,,,,,,,,
South Asia,Pakistan,,,,,1,,1,,,,,,1,,,,,,,,,,,,
South Asia,India / Pakistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Pakistan,,,1,,,,1,,,,,,,,,,,,,,,,,,
South Asia,Bangladesh / Maldives / Nepal / Pakistan / Sri Lanka,1,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Thailand,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Myanmar / Cambodia,,1,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Philippines,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Myanmar,,1,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Myanmar,,,1,,,,,,,,,,,,,,,,,,,,,,
South Asia,Singapore,,1,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Laos,,,1,1,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Philippines,1,,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Vietnam,1,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Laos,,1,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Cambodia,,1,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Vietnam,,,,,,,,,,,,1,,,,,,,,,,,,,
Southeast Asia,Malaysia,,,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Thailand,,,,,,,,1,,,,,,,,,,,,,,,,,
Southeast Asia,Cambodia,1,,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Thailand / Laos,,1,1,,,1,,,,,,,,,,,,,,,,,,,
Southeast Asia,Malaysia,1,,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Laos,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Myanmar,,1,,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,"Thailand, Indonesia, Vietnam, Malaysia",,,,,1,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Myanmar,1,,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Myanmar,,,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Vietnam,,,,1,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Indonesia / Laos / Thailand / Myanmar,1,,,1,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Cambodia,,,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Philippines,,1,,1,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Myanmar,,,,,,,,,,,,,,,,,1,,,,,,,,
Southeast Asia,Cambodia,,,1,,,1,,,,1,,,,,,,,,,,,,,,
Southeast Asia,Vietnam,1,,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Indonesia,,,,,,,,,,,,,,,,,1,,,,,,,,
Southeast Asia,Cambodia / Vietnam,,,1,,,1,,,,,,,,,,,,,,,,,,,
Southeast Asia,Malaysia / Indonesia / Philippines / Singapore,1,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Malaysia,,1,1,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Myanmar,,,,,,,,,,,,,,,,,1,,,,,,,,
Southeast Asia,Cambodia,,,,1,,,,,,,,,,,,,,,1,,,,,,
